timestamp,shipment_id,batch_id,drug_name,temperature,humidity,location,status
2025-01-10 20:15,SH001,OME-2025-014,Omeprazole,7.6,42.8,Bhubaneswar,Normal
2025-01-11 04:15,SH001,OME-2025-014,Omeprazole,3.9,36.5,Bhubaneswar,Normal
2024-08-12 08:30,SH005,SAL-2024-015,Salbutamol,4.6,50.4,Raipur,Normal
2024-08-12 14:50,SH005,SAL-2024-015,Salbutamol,7.0,44.5,Raipur,Normal
2024-08-12 21:10,SH005,SAL-2024-015,Salbutamol,3.1,43.1,Raipur,Normal
2024-08-13 03:30,SH005,SAL-2024-015,Salbutamol,7.3,43.2,Raipur,Normal
2024-08-13 09:50,SH005,SAL-2024-015,Salbutamol,6.0,46.2,Raipur,Normal
2024-08-13 16:10,SH005,SAL-2024-015,Salbutamol,4.8,46.5,Raipur,Normal
2023-12-25 12:45,SH009,CIP-2024-012,Ciprofloxacin,14.3,79.7,Bangalore,Breach
2023-12-25 19:45,SH009,CIP-2024-012,Ciprofloxacin,12.8,74.5,Bangalore,Breach
2023-12-26 02:45,SH009,CIP-2024-012,Ciprofloxacin,4.8,37.6,Bangalore,Normal
2023-12-26 09:45,SH009,CIP-2024-012,Ciprofloxacin,13.3,75.9,Bangalore,Breach
2023-12-26 16:45,SH009,CIP-2024-012,Ciprofloxacin,12.9,74.9,Bangalore,Breach
2024-01-05 06:30,SH018,SAL-2023-005,Salbutamol,6.3,45.4,Kolkata,Normal
2024-01-05 12:42,SH018,SAL-2023-005,Salbutamol,3.4,36.4,Kolkata,Normal
2024-01-05 18:54,SH018,SAL-2023-005,Salbutamol,2.3,36.6,Kolkata,Normal
2024-01-06 01:06,SH018,SAL-2023-005,Salbutamol,2.3,40.9,Kolkata,Normal
2024-01-06 07:18,SH018,SAL-2023-005,Salbutamol,6.8,48.8,Kolkata,Normal
2023-12-31 17:00,SH023,MET-2023-019,Metformin,8.0,41.0,Bangalore,Normal
2023-12-31 21:00,SH023,MET-2023-019,Metformin,7.5,49.1,Bangalore,Normal
2023-03-13 19:45,SH028,IBU-2023-019,Ibuprofen,6.4,52.9,Nagpur,Normal
2023-03-14 02:45,SH028,IBU-2023-019,Ibuprofen,2.7,44.3,Nagpur,Normal
2023-03-14 09:45,SH028,IBU-2023-019,Ibuprofen,4.9,43.9,Nagpur,Normal
2023-03-14 16:45,SH028,IBU-2023-019,Ibuprofen,2.6,53.5,Nagpur,Normal
2023-05-03 09:45,SH029,CIP-2024-012,Ciprofloxacin,5.9,51.7,Mumbai,Normal
2023-05-03 12:15,SH029,CIP-2024-012,Ciprofloxacin,4.4,50.1,Mumbai,Normal
2024-03-24 19:30,SH030,AZI-2023-022,Azithromycin,5.9,40.3,Kolkata,Normal
2024-03-25 01:45,SH030,AZI-2023-022,Azithromycin,7.5,38.1,Kolkata,Normal
2024-03-25 08:00,SH030,AZI-2023-022,Azithromycin,4.3,47.2,Kolkata,Normal
2024-03-25 14:15,SH030,AZI-2023-022,Azithromycin,4.2,47.1,Kolkata,Normal
2025-05-27 18:15,SH034,INS-2024-006,Insulin,6.3,35.4,Chandigarh,Normal
2025-05-27 20:15,SH034,INS-2024-006,Insulin,4.3,37.5,Chandigarh,Normal
2025-11-11 09:00,SH040,ATO-2023-020,Atorvastatin,10.3,66.2,Mumbai,Breach
2025-11-11 16:30,SH040,ATO-2023-020,Atorvastatin,10.2,72.8,Mumbai,Breach
2025-11-12 00:00,SH040,ATO-2023-020,Atorvastatin,13.9,71.3,Mumbai,Breach
2025-11-12 07:30,SH040,ATO-2023-020,Atorvastatin,10.4,77.6,Mumbai,Breach
2025-11-12 15:00,SH040,ATO-2023-020,Atorvastatin,13.5,66.5,Mumbai,Breach
2025-11-12 22:30,SH040,ATO-2023-020,Atorvastatin,4.4,47.0,Mumbai,Normal
2024-02-28 11:00,SH041,AML-2023-017,Amlodipine,5.4,39.3,Delhi,Normal
2024-02-28 15:30,SH041,AML-2023-017,Amlodipine,7.0,52.3,Delhi,Normal
2023-03-18 06:00,SH043,MET-2025-015,Metformin,4.6,40.6,Pune,Normal
2023-03-18 13:50,SH043,MET-2025-015,Metformin,5.5,41.0,Pune,Normal
2023-03-18 21:40,SH043,MET-2025-015,Metformin,3.6,47.8,Pune,Normal
2023-03-19 05:30,SH043,MET-2025-015,Metformin,2.5,51.0,Pune,Normal
2023-03-19 13:20,SH043,MET-2025-015,Metformin,5.0,39.6,Pune,Normal
2023-03-19 21:10,SH043,MET-2025-015,Metformin,2.7,45.2,Pune,Normal
2025-01-23 15:15,SH044,SAL-2025-003,Salbutamol,4.2,43.2,Nagpur,Normal
2025-01-23 19:45,SH044,SAL-2025-003,Salbutamol,7.4,40.5,Nagpur,Normal
2023-08-31 09:00,SH065,SAL-2024-006,Salbutamol,3.1,40.2,Bhopal,Normal
